gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_120770,0.971796989,Dispensable,0.861004235,1.082589742,0.003068759,1
PBANKA_120780,1.015286897,Dispensable,0.950941369,1.079632425,0.001035087,1
PBANKA_120790,1.018261616,Dispensable,0.834114484,1.202408749,0.008477542,2
PBANKA_120800,0.97712566,Dispensable,0.855297931,1.098953388,0.003710499,3
PBANKA_120810,0.078112792,Essential,-0.061415235,0.21764082,0.004867018,2
PBANKA_120820,0.436555574,Slow,0.09208318,0.781027967,0.029665307,2
PBANKA_120840,0.100990508,Essential,0.062206855,0.139774161,0.000376043,2
PBANKA_120850,0.791829938,Slow,0.618884974,0.964774901,0.00747749,2
PBANKA_120870,0.561738363,Slow,0.415676989,0.707799738,0.005333481,3
PBANKA_120930,0.199814936,Essential,-0.00713625,0.406766122,0.010707198,1
PBANKA_120950,0.087931157,Essential,-0.056768058,0.232630373,0.005234466,2
PBANKA_120970,0.094198501,Essential,-0.01187644,0.200273442,0.002812973,2
PBANKA_120980,0.274942103,Essential,-0.031113717,0.580997924,0.023417541,2
PBANKA_121000,1.029654692,Dispensable,0.853774291,1.205535093,0.007733479,1
PBANKA_121010,0.822394326,Slow,0.718485834,0.926302819,0.002699244,2
PBANKA_121020,0.142511206,Essential,0.032739686,0.252282726,0.003012447,2
PBANKA_121030,0.112599339,Essential,-0.052515597,0.277714275,0.006815736,2
PBANKA_121040,1.033300642,Dispensable,0.945441464,1.12115982,0.001929809,1
PBANKA_121050,0.092975417,Essential,0.031900413,0.154050422,0.000932539,2
PBANKA_121060,0.917096102,Dispensable,0.810531238,1.023660967,0.002839018,2
PBANKA_121070,0.124447116,Essential,-0.009552185,0.258446417,0.004488953,2
PBANKA_121080,0.287436184,Slow,0.121026282,0.453846085,0.006923064,1
PBANKA_121090,0.992038041,Dispensable,0.756068639,1.228007442,0.01392039,2
PBANKA_121100,0.637930776,Slow,0.501954569,0.773906983,0.004622382,1
PBANKA_121130,0.155114303,Essential,0.01050408,0.299724526,0.005228029,1
PBANKA_121140,1.004872932,Dispensable,0.891420838,1.118325026,0.003217844,1
PBANKA_121160,0.703967254,Slow,0.515141687,0.892792821,0.008913774,1
PBANKA_121180,0.997859291,Dispensable,0.915375755,1.080342826,0.001700883,2
PBANKA_121190,0.004065686,Essential,-0.0542241,0.062355471,0.000849425,2
PBANKA_121200,0.076027873,Essential,-0.168634056,0.320689803,0.014964865,2
PBANKA_121210,0.074923458,Essential,0.031467627,0.118379289,0.000472102,2
PBANKA_121220,0.659375695,Slow,0.566786349,0.75196504,0.002143197,2
PBANKA_121230,0.50632026,Slow,0.353206002,0.659434518,0.005860994,2
